origin,dest,weight
0,1,1
0,2,1
0,3,1
0,4,1
5,6,1
7,6,1
8,6,1
9,6,1
10,6,1
11,6,1
12,6,1
5,13,1
7,13,1
8,13,1
9,13,1
10,13,1
11,13,1
12,13,1
14,13,1
15,13,1
16,13,1
17,13,1
18,13,1
19,13,1
20,13,1
21,13,1
22,13,1
23,13,1
24,13,1
25,13,1
6,13,1
14,13,1
15,13,1
14,26,1
15,26,1
16,26,1
17,26,1
18,26,1
19,26,1
20,26,1
21,26,1
22,26,1
23,26,1
24,26,1
25,26,1
6,26,1
13,26,1
14,26,1
15,26,1
14,27,1
15,27,1
14,28,1
15,28,1
14,29,1
15,29,1
14,30,1
15,30,1
14,31,1
15,31,1
16,31,1
17,31,1
18,31,1
19,31,1
20,31,1
21,31,1
22,31,1
14,32,1
15,32,1
16,32,1
17,32,1
18,32,1
19,32,1
20,32,1
21,32,1
22,32,1
14,33,1
15,33,1
34,33,1
35,33,1
36,33,1
37,33,1
38,33,1
39,33,1
40,41,1
42,41,1
43,41,1
44,41,1
45,41,1
40,46,1
42,46,1
43,46,1
44,46,1
45,46,1
40,47,1
42,47,1
43,47,1
44,47,1
45,47,1
40,48,1
42,48,1
43,48,1
44,48,1
45,48,1
40,49,1
42,49,1
43,49,1
44,49,1
45,49,1
50,51,1
52,51,1
53,51,1
54,51,1
55,51,1
56,51,1
57,58,1
59,58,1
60,58,1
61,58,1
62,58,1
63,58,1
64,58,1
65,58,1
66,58,1
67,58,1
68,58,1
69,58,1
70,58,1
71,58,1
72,58,1
73,58,1
74,58,1
75,58,1
76,58,1
77,58,1
78,58,1
79,58,1
80,58,1
50,58,1
52,58,1
53,58,1
54,58,1
55,58,1
56,58,1
50,81,1
52,81,1
53,81,1
54,81,1
55,81,1
56,81,1
50,82,1
52,82,1
53,82,1
54,82,1
55,82,1
56,82,1
50,83,1
52,83,1
53,83,1
54,83,1
55,83,1
56,83,1
50,84,1
52,84,1
53,84,1
54,84,1
55,84,1
56,84,1
50,85,1
52,85,1
53,85,1
54,85,1
55,85,1
56,85,1
50,86,1
52,86,1
53,86,1
54,86,1
55,86,1
56,86,1
50,87,1
52,87,1
53,87,1
54,87,1
55,87,1
56,87,1
50,88,1
52,88,1
53,88,1
54,88,1
55,88,1
56,88,1
50,89,1
52,89,1
53,89,1
54,89,1
55,89,1
56,89,1
50,90,1
52,90,1
53,90,1
54,90,1
55,90,1
56,90,1
50,91,1
52,91,1
53,91,1
54,91,1
55,91,1
56,91,1
50,92,1
52,92,1
53,92,1
54,92,1
55,92,1
56,92,1
57,93,1
59,93,1
60,93,1
61,93,1
62,93,1
63,93,1
64,93,1
65,93,1
66,93,1
67,93,1
68,93,1
69,93,1
70,93,1
71,93,1
72,93,1
73,93,1
74,93,1
75,93,1
76,93,1
77,93,1
78,93,1
79,93,1
80,93,1
50,93,1
52,93,1
53,93,1
54,93,1
55,93,1
56,93,1
57,94,1
59,94,1
60,94,1
61,94,1
62,94,1
63,94,1
64,94,1
65,94,1
66,94,1
67,94,1
68,94,1
69,94,1
70,94,1
71,94,1
72,94,1
73,94,1
74,94,1
75,94,1
76,94,1
77,94,1
78,94,1
79,94,1
80,94,1
50,94,1
52,94,1
53,94,1
54,94,1
55,94,1
56,94,1
57,95,1
59,95,1
60,95,1
61,95,1
62,95,1
63,95,1
64,95,1
65,95,1
66,95,1
67,95,1
68,95,1
69,95,1
70,95,1
71,95,1
72,95,1
73,95,1
74,95,1
75,95,1
76,95,1
77,95,1
78,95,1
79,95,1
80,95,1
50,95,1
52,95,1
53,95,1
54,95,1
55,95,1
56,95,1
50,55,1
52,55,1
53,55,1
54,55,1
56,55,1
52,50,1
53,50,1
54,50,1
55,50,1
56,50,1
57,96,1
59,96,1
60,96,1
61,96,1
62,96,1
63,96,1
64,96,1
65,96,1
66,96,1
67,96,1
68,96,1
69,96,1
70,96,1
71,96,1
72,96,1
73,96,1
74,96,1
75,96,1
76,96,1
77,96,1
78,96,1
79,96,1
80,96,1
69,96,1
70,96,1
71,96,1
72,96,1
73,96,1
74,96,1
75,96,1
50,96,1
52,96,1
53,96,1
54,96,1
55,96,1
56,96,1
50,97,1
52,97,1
53,97,1
54,97,1
55,97,1
56,97,1
57,98,1
59,98,1
60,98,1
61,98,1
62,98,1
63,98,1
64,98,1
65,98,1
66,98,1
67,98,1
68,98,1
69,98,1
70,98,1
71,98,1
72,98,1
73,98,1
74,98,1
75,98,1
76,98,1
77,98,1
78,98,1
79,98,1
80,98,1
50,98,1
52,98,1
53,98,1
54,98,1
55,98,1
56,98,1
57,99,1
59,99,1
60,99,1
61,99,1
62,99,1
63,99,1
64,99,1
65,99,1
66,99,1
67,99,1
68,99,1
69,99,1
70,99,1
71,99,1
72,99,1
73,99,1
74,99,1
75,99,1
76,99,1
77,99,1
78,99,1
79,99,1
80,99,1
69,99,1
70,99,1
71,99,1
72,99,1
73,99,1
74,99,1
75,99,1
50,99,1
52,99,1
53,99,1
54,99,1
55,99,1
56,99,1
57,100,1
59,100,1
60,100,1
61,100,1
62,100,1
63,100,1
64,100,1
65,100,1
66,100,1
67,100,1
68,100,1
69,100,1
70,100,1
71,100,1
72,100,1
73,100,1
74,100,1
75,100,1
76,100,1
77,100,1
78,100,1
79,100,1
80,100,1
50,100,1
52,100,1
53,100,1
54,100,1
55,100,1
56,100,1
101,45,1
102,45,1
103,45,1
23,104,1
24,104,1
25,104,1
6,104,1
13,104,1
57,105,1
59,105,1
60,105,1
61,105,1
62,105,1
63,105,1
5,105,1
7,105,1
8,105,1
9,105,1
10,105,1
11,105,1
12,105,1
105,106,1
107,106,1
108,106,1
109,106,1
110,106,1
111,106,1
112,106,1
113,106,1
114,106,1
115,106,1
116,106,1
117,106,1
118,106,1
119,106,1
120,106,1
121,106,1
122,106,1
123,106,1
124,106,1
125,106,1
105,106,1
126,106,1
127,106,1
128,106,1
129,106,1
119,106,1
57,106,1
59,106,1
60,106,1
61,106,1
62,106,1
63,106,1
130,106,1
131,106,1
132,106,1
133,106,1
134,106,1
135,106,1
136,106,1
137,106,1
138,106,1
139,106,1
140,106,1
141,106,1
57,106,1
59,106,1
60,106,1
61,106,1
62,106,1
63,106,1
5,106,1
7,106,1
8,106,1
9,106,1
10,106,1
11,106,1
12,106,1
16,142,1
17,142,1
18,142,1
19,142,1
20,142,1
21,142,1
22,142,1
16,143,1
17,143,1
18,143,1
19,143,1
20,143,1
21,143,1
22,143,1
16,144,1
17,144,1
18,144,1
19,144,1
20,144,1
21,144,1
22,144,1
16,145,1
17,145,1
18,145,1
19,145,1
20,145,1
21,145,1
22,145,1
16,146,1
17,146,1
18,146,1
19,146,1
20,146,1
21,146,1
22,146,1
16,147,1
17,147,1
18,147,1
19,147,1
20,147,1
21,147,1
22,147,1
16,148,1
17,148,1
18,148,1
19,148,1
20,148,1
21,148,1
22,148,1
16,149,1
17,149,1
18,149,1
19,149,1
20,149,1
21,149,1
22,149,1
16,150,1
17,150,1
18,150,1
19,150,1
20,150,1
21,150,1
22,150,1
16,151,1
17,151,1
18,151,1
19,151,1
20,151,1
21,151,1
22,151,1
16,152,1
17,152,1
18,152,1
19,152,1
20,152,1
21,152,1
22,152,1
16,153,1
17,153,1
18,153,1
19,153,1
20,153,1
21,153,1
22,153,1
16,154,1
17,154,1
18,154,1
19,154,1
20,154,1
21,154,1
22,154,1
105,119,1
107,119,1
108,119,1
109,119,1
110,119,1
106,119,1
111,119,1
112,119,1
113,119,1
114,119,1
115,119,1
116,119,1
117,119,1
118,119,1
120,119,1
121,119,1
122,119,1
123,119,1
124,119,1
125,119,1
105,119,1
126,119,1
127,119,1
128,119,1
129,119,1
106,119,1
57,119,1
59,119,1
60,119,1
61,119,1
62,119,1
63,119,1
130,119,1
131,119,1
132,119,1
133,119,1
134,119,1
135,119,1
136,119,1
137,119,1
138,119,1
139,119,1
140,119,1
141,119,1
57,119,1
59,119,1
60,119,1
61,119,1
62,119,1
63,119,1
5,119,1
7,119,1
8,119,1
9,119,1
10,119,1
11,119,1
12,119,1
16,155,1
17,155,1
18,155,1
19,155,1
20,155,1
21,155,1
22,155,1
16,156,1
17,156,1
18,156,1
19,156,1
20,156,1
21,156,1
22,156,1
16,157,1
17,157,1
18,157,1
19,157,1
20,157,1
21,157,1
22,157,1
16,158,1
17,158,1
18,158,1
19,158,1
20,158,1
21,158,1
22,158,1
16,159,1
17,159,1
18,159,1
19,159,1
20,159,1
21,159,1
22,159,1
16,160,1
17,160,1
18,160,1
19,160,1
20,160,1
21,160,1
22,160,1
16,161,1
17,161,1
18,161,1
19,161,1
20,161,1
21,161,1
22,161,1
16,162,1
17,162,1
18,162,1
19,162,1
20,162,1
21,162,1
22,162,1
16,163,1
17,163,1
18,163,1
19,163,1
20,163,1
21,163,1
22,163,1
16,164,1
17,164,1
18,164,1
19,164,1
20,164,1
21,164,1
22,164,1
16,165,1
17,165,1
18,165,1
19,165,1
20,165,1
21,165,1
22,165,1
16,166,1
17,166,1
18,166,1
19,166,1
20,166,1
21,166,1
22,166,1
16,167,1
17,167,1
18,167,1
19,167,1
20,167,1
21,167,1
22,167,1
16,168,1
17,168,1
18,168,1
19,168,1
20,168,1
21,168,1
22,168,1
16,169,1
17,169,1
18,169,1
19,169,1
20,169,1
21,169,1
22,169,1
16,170,1
17,170,1
18,170,1
19,170,1
20,170,1
21,170,1
22,170,1
16,171,1
17,171,1
18,171,1
19,171,1
20,171,1
21,171,1
22,171,1
16,172,1
17,172,1
18,172,1
19,172,1
20,172,1
21,172,1
22,172,1
16,173,1
17,173,1
18,173,1
19,173,1
20,173,1
21,173,1
22,173,1
16,174,1
17,174,1
18,174,1
19,174,1
20,174,1
21,174,1
22,174,1
175,176,1
177,176,1
178,176,1
179,176,1
180,176,1
181,176,1
182,176,1
183,176,1
176,175,1
177,175,1
178,175,1
179,175,1
180,175,1
181,175,1
182,175,1
183,175,1
176,177,1
175,177,1
178,177,1
179,177,1
180,177,1
181,177,1
182,177,1
183,177,1
176,178,1
175,178,1
177,178,1
179,178,1
180,178,1
181,178,1
182,178,1
183,178,1
176,179,1
175,179,1
177,179,1
178,179,1
180,179,1
181,179,1
182,179,1
183,179,1
176,180,1
175,180,1
177,180,1
178,180,1
179,180,1
181,180,1
182,180,1
183,180,1
69,184,1
70,184,1
71,184,1
72,184,1
73,184,1
74,184,1
75,184,1
69,185,1
70,185,1
71,185,1
72,185,1
73,185,1
74,185,1
75,185,1
69,186,1
70,186,1
71,186,1
72,186,1
73,186,1
74,186,1
75,186,1
69,187,1
70,187,1
71,187,1
72,187,1
73,187,1
74,187,1
75,187,1
188,189,1
190,189,1
191,189,1
192,189,1
120,189,1
121,189,1
193,189,1
194,189,1
195,189,1
196,189,1
197,189,1
198,189,1
199,189,1
200,189,1
201,189,1
202,189,1
203,189,1
204,189,1
205,189,1
206,189,1
207,189,1
208,189,1
209,189,1
57,189,1
59,189,1
60,189,1
61,189,1
62,189,1
63,189,1
210,189,1
211,189,1
212,189,1
213,189,1
214,189,1
64,189,1
65,189,1
66,189,1
67,189,1
68,189,1
69,189,1
70,189,1
71,189,1
72,189,1
73,189,1
74,189,1
75,189,1
198,189,1
195,189,1
201,189,1
196,189,1
197,189,1
202,189,1
200,189,1
199,189,1
215,189,1
216,189,1
217,189,1
218,189,1
205,189,1
206,189,1
207,189,1
219,189,1
220,189,1
204,189,1
208,189,1
221,189,1
209,189,1
69,189,1
70,189,1
71,189,1
72,189,1
73,189,1
74,189,1
75,189,1
69,222,1
70,222,1
71,222,1
72,222,1
73,222,1
74,222,1
75,222,1
69,223,1
70,223,1
71,223,1
72,223,1
73,223,1
74,223,1
75,223,1
188,212,1
190,212,1
191,212,1
192,212,1
120,212,1
121,212,1
193,212,1
194,212,1
195,212,1
196,212,1
197,212,1
198,212,1
199,212,1
200,212,1
201,212,1
202,212,1
203,212,1
204,212,1
205,212,1
206,212,1
207,212,1
208,212,1
209,212,1
57,212,1
59,212,1
60,212,1
61,212,1
62,212,1
63,212,1
189,212,1
210,212,1
211,212,1
213,212,1
214,212,1
64,212,1
65,212,1
66,212,1
67,212,1
68,212,1
69,212,1
70,212,1
71,212,1
72,212,1
73,212,1
74,212,1
75,212,1
198,212,1
195,212,1
201,212,1
196,212,1
197,212,1
202,212,1
200,212,1
199,212,1
215,212,1
216,212,1
217,212,1
218,212,1
205,212,1
206,212,1
207,212,1
219,212,1
220,212,1
204,212,1
208,212,1
221,212,1
209,212,1
69,212,1
70,212,1
71,212,1
72,212,1
73,212,1
74,212,1
75,212,1
188,210,1
190,210,1
191,210,1
192,210,1
120,210,1
121,210,1
193,210,1
194,210,1
195,210,1
196,210,1
197,210,1
198,210,1
199,210,1
200,210,1
201,210,1
202,210,1
203,210,1
204,210,1
205,210,1
206,210,1
207,210,1
208,210,1
209,210,1
57,210,1
59,210,1
60,210,1
61,210,1
62,210,1
63,210,1
189,210,1
211,210,1
212,210,1
213,210,1
214,210,1
64,210,1
65,210,1
66,210,1
67,210,1
68,210,1
69,210,1
70,210,1
71,210,1
72,210,1
73,210,1
74,210,1
75,210,1
198,210,1
195,210,1
201,210,1
196,210,1
197,210,1
202,210,1
200,210,1
199,210,1
215,210,1
216,210,1
217,210,1
218,210,1
205,210,1
206,210,1
207,210,1
219,210,1
220,210,1
204,210,1
208,210,1
221,210,1
209,210,1
69,210,1
70,210,1
71,210,1
72,210,1
73,210,1
74,210,1
75,210,1
69,224,1
70,224,1
71,224,1
72,224,1
73,224,1
74,224,1
75,224,1
188,211,1
190,211,1
191,211,1
192,211,1
120,211,1
121,211,1
193,211,1
194,211,1
195,211,1
196,211,1
197,211,1
198,211,1
199,211,1
200,211,1
201,211,1
202,211,1
203,211,1
204,211,1
205,211,1
206,211,1
207,211,1
208,211,1
209,211,1
57,211,1
59,211,1
60,211,1
61,211,1
62,211,1
63,211,1
189,211,1
210,211,1
212,211,1
213,211,1
214,211,1
64,211,1
65,211,1
66,211,1
67,211,1
68,211,1
69,211,1
70,211,1
71,211,1
72,211,1
73,211,1
74,211,1
75,211,1
198,211,1
195,211,1
201,211,1
196,211,1
197,211,1
202,211,1
200,211,1
199,211,1
215,211,1
216,211,1
217,211,1
218,211,1
205,211,1
206,211,1
207,211,1
219,211,1
220,211,1
204,211,1
208,211,1
221,211,1
209,211,1
69,211,1
70,211,1
71,211,1
72,211,1
73,211,1
74,211,1
75,211,1
69,225,1
70,225,1
71,225,1
72,225,1
73,225,1
74,225,1
75,225,1
69,226,1
70,226,1
71,226,1
72,226,1
73,226,1
74,226,1
75,226,1
69,227,1
70,227,1
71,227,1
72,227,1
73,227,1
74,227,1
75,227,1
69,228,1
70,228,1
71,228,1
72,228,1
73,228,1
74,228,1
75,228,1
69,229,1
70,229,1
71,229,1
72,229,1
73,229,1
74,229,1
75,229,1
188,213,1
190,213,1
191,213,1
192,213,1
120,213,1
121,213,1
