id,name,lat,lon
0,Wenge Wang,,
1,Qing Su,,
2,Xinyi Wang,,
3,Zhijie Zhang,,
4,Hongchao Qi,,
5,Shuang Xiao,,
6,Runye Shi,,
7,Michael P Ward,,
8,Yue Chen,,
9,Wei Tu,,
10,Amna Tariq,,
11,Eunha Shim,,
12,Wongyeong Choi,,
13,Yiseul Lee,,
14,Gerardo Chowell,,
15,Kamalich Muniz-Rodriguez,,
16,Isaac Chun-Hai Fung,,
17,Shayesteh R Ferdosi,,
18,Sylvia K Ofori,,
19,Kimberlyn Roosa,,
20,Ruiyan Luo,,
21,Alexander Kirpich,,
22,Richard Rothenberg,,
23,James M Hyman,,
24,Ping Yan,,
25,Kenji Mizumoto,,
26,Katsushi Kagaya,,
27,Alexander Zarebski,,
28,Behzad Vahedi,,
29,Abolfazl Mollalo,,
30,Kiara M Rivera,,
31,Peipei Song,,
32,Kenji Karako,,
33,Yu Chen,,
34,Wei Tang,,
35,Eli P Fenichel,,
36,Jude Bayham,,
37,Pierre Magal,,
38,Zhihua Liu,,
39,Ousmane Seydi,,
40,Glenn Webb,,
41,Robert Dyrdak,,
42,Richard A Neher,,
43,Valentin Druelle,,
44,Emma B Hodcroft,,
45,Jan Albert,,
46,Maria Litvinova,,
47,Juanjuan Zhang,,
48,Wei Wang,,
49,Yan Wang,,
50,Xiaowei Deng,,
51,Xinghui Chen,,
52,Mei Li,,
53,Wen Zheng,,
54,Lan Yi,,
55,Xinhua Chen,,
56,Qianhui Wu,,
57,Yuxia Liang,,
58,Xiling Wang,,
59,Juan Yang,,
60,Kaiyuan Sun,,
61,Ira M Longini,,
62,M Elizabeth Halloran,,
63,Peng Wu,,
64,Benjamin J Cowling,,
65,Stefano Merler,,
66,Cecile Viboud,,
67,Alessandro Vespignani,,
68,Marco Ajelli,,
69,Hongjie Yu,,
70,Matteo Chinazzi,,
71,Jessica T Davis,,
72,Corrado Gioannini,,
73,Ana Pastore Y Piontti,,
74,Kunpeng Mu,,
75,Luca Rossi,,
76,Cécile Viboud,,
77,Xinyue Xiong,,
78,Qi Ying,,
79,Xinmiao Fu,,
80,Tieyong Zeng,,
81,Tao Long,,
82,Luiz F Pires,,
83,Fábio A M Cássaro,,
84,Gabriel M Leung,,
85,Tim K Tsang,,
86,Yun Lin,,
87,Eric H Y Lau,,
88,Giorgio Guzzetta,,
89,Piero Poletti,,
90,Filippo Trentini,,
91,Valentina Marziano,,
92,Danilo Cereda,,
93,Marcello Tirani,,
94,Giulio Diurno,,
95,Annalisa Bodina,,
96,Antonio Barone,,
97,Lucia Crottogini,,
98,Maria Gramegna,,
99,Alessia Melegaro,,
100,Pablo M De Salazar,,
101,Rene Niehus,,
102,Aimee R Taylor,,
103,Marc Lipsitch,,
104,Stephen M Kissler,,
105,Christine Tedijanto,,
106,Edward Goldstein,,
107,Yonatan H Grad,,
108,Pablo Martinez De Salazar,,
109,René Niehus,,
110,Aimee Taylor,,
111,Caroline O'Flaherty Buckee,,
112,Soyoung Kim,,
113,Yu Bin Seo,,
114,Eunok Jung,,
115,Jiaxin Chen,,
116,Can Hou,,
117,Yaqing Zhou,,
118,Lei Hua,,
119,Jinxia Yuan,,
120,Shu He,,
121,Yi Guo,,
122,Sheng Zhang,,
123,Qiaowei Jia,,
124,Chenhui Zhao,,
125,Jing Zhang,,
126,Guangxu Xu,,
127,Enzhi Jia,,
128,MengYuan Diao,,
129,Wenbo Yu,,
130,Lei Pei,,
131,Zhaofen Lin,,
132,Dechang Chen,,
133,Lin Yang,,
