origin,dest,weight
0003,0014,1000
0014,0363,1000
0025,0014,1000
0034,0457,1000
0037,0014,1000
0072,0080,1000
0074,0014,1000
0074,0086,1000
0074,1900,1000
0109,0118,1000
0118,0106,1000
0147,0141,1000
0150,0301,1000
0153,0202,1000
0158,0164,1000
0197,0294,1000
0202,0299,1000
0236,0281,1000
0268,0281,1000
0297,0796,1000
0303,0034,1000
0307,0203,1000
0307,0345,1000
0308,0363,1000
0342,0308,1000
0344,0796,1000
0344,1581,1000
0345,1581,1000
0355,1581,1000
0356,0307,1000
0356,0353,1000
0361,0399,1000
0362,0344,1000
0363,0453,1000
0373,0363,1000
0388,0405,1000
0392,0344,1000
0392,0375,1000
0398,0453,1000
0400,0361,1000
0405,0479,1000
0420,0361,1000
0451,0358,1000
0453,0479,1000
0473,0394,1000
0479,0375,1000
0503,0546,1000
0505,0610,1000
0513,0484,1000
0513,1892,1000
0518,0513,1000
0523,0512,1000
0523,0610,1000
0546,1525,1000
0599,0484,1000
0599,0590,1000
0599,0796,1000
0610,0505,1000
0610,0599,1000
0620,0356,1000
0637,0394,1000
0637,0484,1000
0637,1926,1000
0736,0362,1000
0753,0796,1000
0756,0984,1000
0758,0505,1000
0765,1895,1000
0770,0861,1000
0772,0820,1000
0772,0858,1000
0788,0855,1000
0796,0363,1000
0796,0797,1000
0828,0268,1000
0856,0772,1000
0858,0861,1000
0867,0797,1000
0870,0512,1000
0882,0772,1000
0928,0935,1000
0962,0917,1000
0965,0917,1000
1586,1859,1000
1598,0363,1000
1598,0398,1000
1621,0503,1000
1641,1640,1000
1674,0772,1000
1676,0599,1000
1685,0828,1000
1702,0756,1000
1721,0856,1000
1722,0080,1000
1735,0141,1000
1742,0150,1000
1842,0518,1000
1859,0153,1000
1884,0546,1000
1896,0166,1000
1904,0356,1000
1911,0363,1000
1931,0502,1000
1931,0518,1000
1940,0080,1000
0034,0995,2000
0074,0080,2000
0114,0109,2000
0114,0193,2000
0158,0153,2000
0183,0141,2000
0202,0200,2000
0202,0228,2000
0289,0228,2000
0307,0342,2000
0307,0355,2000
0307,0402,2000
0344,0546,2000
0416,0398,2000
0431,0363,2000
0439,0479,2000
0484,0599,2000
0505,0642,2000
0546,0394,2000
0590,0599,2000
0766,0855,2000
0796,0599,2000
0867,0855,2000
0879,0758,2000
0983,0957,2000
1735,0164,2000
1900,1940,2000
0361,0398,3000
0457,0363,3000
0677,0715,3000
0824,0855,3000
0599,1621,4000
0736,0363,4000
