origin,dest,weight
Colombo,Gampaha,175469
Colombo,Kalutara,89529
Colombo,Kandy,26816
Colombo,Matale,6698
Colombo,Nuwara Eliya,7107
Colombo,Galle,18611
Colombo,Matara,14672
Colombo,Hambantota,11797
Colombo,Jaffna,6321
Colombo,Mannar,1217
Colombo,Vavuniya,2724
Colombo,Mullaitivu,455
Colombo,Kilinochchi,645
Colombo,Baticaloa,2172
Colombo,Ampara,4422
Colombo,Trincomalee,3480
Colombo,Kurunegala,23962
Colombo,Puttalam,13089
Colombo,Anuradhapura,14496
Colombo,Polonnaruwa,6106
Colombo,Badulla,13981
Colombo,Monaragala,5055
Colombo,Ratnapura,19301
Colombo,Kegalle,17831
Gampaha,Colombo,41612
Gampaha,Kalutara,9609
Gampaha,Kandy,8701
Gampaha,Matale,3164
Gampaha,Nuwara Eliya,1869
Gampaha,Galle,4500
Gampaha,Matara,2607
Gampaha,Hambantota,2478
Gampaha,Jaffna,343
Gampaha,Mannar,240
Gampaha,Vavuniya,389
Gampaha,Mullaitivu,228
Gampaha,Kilinochchi,60
Gampaha,Baticaloa,411
Gampaha,Ampara,2174
Gampaha,Trincomalee,1986
Gampaha,Kurunegala,31117
Gampaha,Puttalam,23441
Gampaha,Anuradhapura,11357
Gampaha,Polonnaruwa,4609
Gampaha,Badulla,3506
Gampaha,Monaragala,1700
Gampaha,Ratnapura,5146
Gampaha,Kegalle,13343
Kalutara,Colombo,58955
Kalutara,Gampaha,22922
Kalutara,Kandy,5337
Kalutara,Matale,1467
Kalutara,Nuwara Eliya,1360
Kalutara,Galle,15826
Kalutara,Matara,4057
Kalutara,Hambantota,2711
Kalutara,Jaffna,218
Kalutara,Mannar,153
Kalutara,Vavuniya,589
Kalutara,Mullaitivu,108
Kalutara,Kilinochchi,102
Kalutara,Baticaloa,280
Kalutara,Ampara,1800
Kalutara,Trincomalee,897
Kalutara,Kurunegala,5921
Kalutara,Puttalam,4036
Kalutara,Anuradhapura,5682
Kalutara,Polonnaruwa,2397
Kalutara,Badulla,2825
Kalutara,Monaragala,2433
Kalutara,Ratnapura,13315
Kalutara,Kegalle,3748
Kandy,Colombo,63994
Kandy,Gampaha,45648
Kandy,Kalutara,8879
Kandy,Matale,34697
Kandy,Nuwara Eliya,34793
Kandy,Galle,4444
Kandy,Matara,2781
Kandy,Hambantota,2112
Kandy,Jaffna,1159
Kandy,Mannar,526
Kandy,Vavuniya,2688
Kandy,Mullaitivu,382
Kandy,Kilinochchi,266
Kandy,Baticaloa,1195
Kandy,Ampara,16882
Kandy,Trincomalee,5527
Kandy,Kurunegala,27867
Kandy,Puttalam,5232
Kandy,Anuradhapura,27026
Kandy,Polonnaruwa,24397
Kandy,Badulla,15353
Kandy,Monaragala,3050
Kandy,Ratnapura,5632
Kandy,Kegalle,20367
Matale,Colombo,13214
Matale,Gampaha,14000
Matale,Kalutara,2247
Matale,Kandy,25350
Matale,Nuwara Eliya,3141
Matale,Galle,1361
Matale,Matara,767
Matale,Hambantota,573
Matale,Jaffna,352
Matale,Mannar,259
Matale,Vavuniya,1116
Matale,Mullaitivu,170
Matale,Kilinochchi,144
Matale,Baticaloa,511
Matale,Ampara,1737
Matale,Trincomalee,2070
Matale,Kurunegala,11868
Matale,Puttalam,1760
Matale,Anuradhapura,19779
Matale,Polonnaruwa,12553
Matale,Badulla,1969
Matale,Monaragala,688
Matale,Ratnapura,1389
Matale,Kegalle,2842
Nuwara Eliya,Colombo,40548
Nuwara Eliya,Gampaha,26621
Nuwara Eliya,Kalutara,4992
Nuwara Eliya,Kandy,39296
Nuwara Eliya,Matale,4792
Nuwara Eliya,Galle,2710
Nuwara Eliya,Matara,1646
Nuwara Eliya,Hambantota,1218
Nuwara Eliya,Jaffna,518
Nuwara Eliya,Mannar,251
Nuwara Eliya,Vavuniya,1195
Nuwara Eliya,Mullaitivu,192
Nuwara Eliya,Kilinochchi,127
Nuwara Eliya,Baticaloa,874
Nuwara Eliya,Ampara,5923
Nuwara Eliya,Trincomalee,4482
Nuwara Eliya,Kurunegala,5925
Nuwara Eliya,Puttalam,2637
Nuwara Eliya,Anuradhapura,7796
Nuwara Eliya,Polonnaruwa,10053
Nuwara Eliya,Badulla,16506
Nuwara Eliya,Monaragala,2299
Nuwara Eliya,Ratnapura,4200
Nuwara Eliya,Kegalle,6228
Galle,Colombo,69866
Galle,Gampaha,32329
Galle,Kalutara,33791
Galle,Kandy,7232
Galle,Matale,2070
Galle,Nuwara Eliya,2443
Galle,Matara,22491
Galle,Hambantota,8731
Galle,Jaffna,128
Galle,Mannar,102
Galle,Vavuniya,385
Galle,Mullaitivu,141
Galle,Kilinochchi,72
Galle,Baticaloa,353
Galle,Ampara,3673
Galle,Trincomalee,1521
Galle,Kurunegala,6538
Galle,Puttalam,3235
Galle,Anuradhapura,7353
Galle,Polonnaruwa,3479
Galle,Badulla,3404
Galle,Monaragala,4936
Galle,Ratnapura,8908
Galle,Kegalle,3403
Matara,Colombo,71660
Matara,Gampaha,31484
Matara,Kalutara,14383
Matara,Kandy,6082
Matara,Matale,1560
Matara,Nuwara Eliya,1895
Matara,Galle,33589
Matara,Hambantota,38272
Matara,Jaffna,137
Matara,Mannar,91
Matara,Vavuniya,217
Matara,Mullaitivu,75
Matara,Kilinochchi,65
Matara,Baticaloa,234
Matara,Ampara,4266
Matara,Trincomalee,2181
Matara,Kurunegala,5283
Matara,Puttalam,1913
Matara,Anuradhapura,5573
Matara,Polonnaruwa,2740
Matara,Badulla,4096
Matara,Monaragala,10182
Matara,Ratnapura,17455
Matara,Kegalle,2702
Hambantota,Colombo,24172
Hambantota,Gampaha,12815
Hambantota,Kalutara,5570
Hambantota,Kandy,2428
Hambantota,Matale,614
Hambantota,Nuwara Eliya,729
Hambantota,Galle,8341
Hambantota,Matara,22656
Hambantota,Jaffna,81
Hambantota,Mannar,68
Hambantota,Vavuniya,146
Hambantota,Mullaitivu,66
Hambantota,Kilinochchi,50
Hambantota,Baticaloa,207
Hambantota,Ampara,1717
Hambantota,Trincomalee,739
Hambantota,Kurunegala,2292
Hambantota,Puttalam,797
Hambantota,Anuradhapura,1577
Hambantota,Polonnaruwa,1270
Hambantota,Badulla,2225
Hambantota,Monaragala,17492
Hambantota,Ratnapura,17386
Hambantota,Kegalle,1328
Jaffna,Colombo,30432
Jaffna,Gampaha,5435
Jaffna,Kalutara,892
Jaffna,Kandy,1962
Jaffna,Matale,580
Jaffna,Nuwara Eliya,966
Jaffna,Galle,376
Jaffna,Matara,303
Jaffna,Hambantota,272
Jaffna,Mannar,4544
Jaffna,Vavuniya,17957
Jaffna,Mullaitivu,5917
Jaffna,Kilinochchi,7885
Jaffna,Baticaloa,2750
Jaffna,Ampara,844
Jaffna,Trincomalee,6479
Jaffna,Kurunegala,1116
Jaffna,Puttalam,6053
Jaffna,Anuradhapura,1222
Jaffna,Polonnaruwa,351
