id,name,lat,lon
Colombo,"Colombo, Sri Lanka",6.86667,80.01667
Gampaha,"Gampaha, Sri Lanka",7.13333,80
Kalutara,"Kalutara, Sri Lanka",6.58333,80.16667
Kandy,"Kandy, Sri Lanka",7.25,80.75
Matale,"Matale, Sri Lanka",7.66667,80.75
Nuwara Eliya,"Nuwara Eliya, Sri Lanka",7,80.75
Galle,"Galle, Sri Lanka",6.25361,80.29806
Matara,"Matara, Sri Lanka",6.16667,80.5
Hambantota,"Hambantota, Sri Lanka",6.25,81.16667
Jaffna,"Jaffna, Sri Lanka",9.66667,80.16667
Mannar,"Mannar, Sri Lanka",8.86667,80.06667
Vavuniya,"Vavuniya, Sri Lanka",8.83333,80.5
Mullaitivu,"Mullaitivu, Sri Lanka",9.23333,80.53333
Kilinochchi,"Kilinochchi, Sri Lanka",9.41667,80.41667
Baticaloa,"Batticaloa, Sri Lanka",7.83333,81.33333
Ampara,"Ampara, Sri Lanka",7.08333,81.75
Trincomalee,"Trincomalee, Sri Lanka",8.58333,81.08333
Kurunegala,"Kurunegala, Sri Lanka",7.75,80.25
Puttalam,"Puttalam, Sri Lanka",8,80
Anuradhapura,"Anuradhapura, Sri Lanka",8.33333,80.5
Polonnaruwa,"Polonnaruwa, Sri Lanka",8,81
Badulla,"Badulla, Sri Lanka",6.98472,81.05639
Monaragala,"Monaragala, Sri Lanka",6.66667,81.33333
Ratnapura,"Ratnapura, Sri Lanka",6.58333,80.58333
Kegalle,"Kegalle, Sri Lanka",7.3,80.4
