id,name,lat,lon
0,Ai Ssu-ch'i,,
1,Ch'en Shao-yu,,
2,Ch'in Pang-hsien,,
3,Chang Han-fu,,
4,Chang Wen-t'ien,,
5,Cheng I-li,,
6,Chou Yang,,
7,Hu Ch'iao-mu,,
8,Hu Shih,,
9,Jen Cho-hsuan,,
10,Li Kung-p'u,,
11,Liu Shih,,
12,Mao Tse-tung,,
13,Wu Li-p'ing,,
14,Yeh Ch'ing,,
15,Burhan,,
16,Akhmedjan Kasimov Kasimov,,
17,Chang Chih-chung,,
18,Chiang Kai-shek,,
19,Chin Shu-jen,,
20,Garegin A. Apresoff,,
21,Kazan,,
22,Ma Chung-ying,,
23,Mao Tse-min,,
24,Masud Sabri,,
25,Saifudin,,
26,Sheng Shih-ts'ai,,
27,Sun Yat-sen,,
28,Sung Hsi-lien,,
29,Sven Hedin,,
30,Turki,,
31,Wu Chung-hsin,,
32,Yang Tseng-hsin,,
33,Buyantai,,
34,B. Dantzen,,
35,Butterfly Wu,,
36,Wu Ch'ao-shu,,
37,Feng Yu-hsiang,,
38,Fu Tso-yi,,
39,Genghis Khan,,
40,Gungsang Norbu,,
41,Hsiung Shih-hui,,
42,Hsu Ch'ien,,
43,Hsu Shih-ying,,
44,Hu Tieh,,
45,Husutei,,
46,Kharchin Banner,,
47,Kuo Tao-fu,,
48,Li Lieh-chun,,
49,Li Yung-hsin,,
50,Merse,,
51,Pai Hai-feng,,
52,Pai Yu-k'un,,
53,Demchukdonggrub,,
54,Wang Ching-wei,,
55,Wu Ho-ling,,
56,Yen Hsi-shan,,
57,Ch'en Ch'eng,,
58,Albert C. Wedemeyer,,
59,Ch'en Hsi-wen,,
60,Chang Hsueh-liang,,
61,Chiang Ching-kuo,,
62,Chou Chih-jou,,
63,Chou En-lai,,
64,George C. Marshall,,
65,Ho Chien,,
66,Ho Ying-ch'in,,
67,Hsueh Yueh,,
68,Hu Tsung-nan,,
69,Huang Ch'i-hsiang,,
70,Joseph W. Stilwell,,
71,Ku Chu-t'ung,,
72,Kuo Mo-jo,,
73,Liu Hsiang,,
74,Lo Cho-ying,,
75,O. K. Yui,,
76,Pai Ch'ung-hsi,,
77,Patrick J. Hurley,,
78,Sun Ch'uan-fang,,
79,T. V. Soong,,
80,T'an Hsiang,,
81,Wei Li-huang,,
82,Wu Kuo-chen,,
83,Yang Hu-ch'eng,,
84,Yen Chung,,
85,Yu Han-mou,,
86,Yu Hung-chun,,
87,Ch'en Ch'i-mei,,
88,Ch'en Ch'i-ts'ai,,
89,Chang Hsun,,
90,Cheng Ju-ch'eng,,
91,Chu Cheng,,
92,Huang Hsing,,
93,Sung Chiao-jen,,
94,T. Ai-shih,,
95,Yuan Shih-k'ai,,
96,Ch'en Ch'ing-yun,,
97,Chan Hing-wan,,
98,Chang Hui-ch'ang,,
99,Curtiss,,
100,Huang Kuang-jui,,
101,Liao Chung-k'ai,,
