origin,dest,weight
0,1,1
0,2,1
0,2,1
3,4,1
3,5,1
6,4,1
6,7,1
6,8,1
6,9,1
6,5,1
6,10,1
6,11,1
12,13,1
12,4,1
12,14,1
12,7,1
12,15,1
12,16,1
12,17,1
12,18,1
12,11,1
12,11,1
19,20,1
19,4,1
19,21,1
19,5,1
19,22,1
23,4,1
23,24,1
23,5,1
25,26,1
25,27,1
25,4,1
25,28,1
25,29,1
25,30,1
25,17,1
25,5,1
25,10,1
31,4,1
31,7,1
31,16,1
31,2,1
31,5,1
31,32,1
31,10,1
33,34,1
33,35,1
33,36,1
33,5,1
33,37,1
33,10,1
33,22,1
26,38,1
26,39,1
26,40,1
26,41,1
26,4,1
26,42,1
26,43,1
26,44,1
26,45,1
26,46,1
26,29,1
26,47,1
26,21,1
26,48,1
26,9,1
26,36,1
26,49,1
26,24,1
26,50,1
26,51,1
26,52,1
26,53,1
26,54,1
26,5,1
26,55,1
26,56,1
26,57,1
26,58,1
26,59,1
26,37,1
26,60,1
26,61,1
26,62,1
26,63,1
26,22,1
64,1,1
64,32,1
65,66,1
65,4,1
65,14,1
65,67,1
68,35,1
69,26,1
69,70,1
69,27,1
69,4,1
69,28,1
69,7,1
69,1,1
69,71,1
69,24,1
69,5,1
69,32,1
69,10,1
69,72,1
69,11,1
73,4,1
73,35,1
73,29,1
73,74,1
73,5,1
73,18,1
73,32,1
73,72,1
73,22,1
75,13,1
75,4,1
75,14,1
75,35,1
75,15,1
75,29,1
75,30,1
75,2,1
75,5,1
75,18,1
75,10,1
75,11,1
75,22,1
76,46,1
76,49,1
77,78,1
77,27,1
77,20,1
77,4,1
77,28,1
77,79,1
77,8,1
77,29,1
77,17,1
77,5,1
77,32,1
77,60,1
77,80,1
81,4,1
81,29,1
81,21,1
81,5,1
81,10,1
82,4,1
82,83,1
82,35,1
82,2,1
82,18,1
82,84,1
82,84,1
82,11,1
82,22,1
85,4,1
85,86,1
85,29,1
85,5,1
85,37,1
87,49,1
88,35,1
88,30,1
89,29,1
89,5,1
90,4,1
90,2,1
91,70,1
91,4,1
91,7,1
91,29,1
91,5,1
91,10,1
91,11,1
92,70,1
92,71,1
92,2,1
92,5,1
92,60,1
70,69,1
70,93,1
70,78,1
70,13,1
70,94,1
70,4,1
70,95,1
70,96,1
70,1,1
70,97,1
70,98,1
70,99,1
70,100,1
70,101,1
70,71,1
70,49,1
70,102,1
70,103,1
70,2,1
70,104,1
70,105,1
70,106,1
70,107,1
70,5,1
70,108,1
70,109,1
70,32,1
70,37,1
70,110,1
70,10,1
70,60,1
111,4,1
112,70,1
112,4,1
112,14,1
113,14,1
113,114,1
113,79,1
113,74,1
113,103,1
113,2,1
113,80,1
115,4,1
115,35,1
115,17,1
115,10,1
116,1,1
116,30,1
116,49,1
117,14,1
117,67,1
117,103,1
117,2,1
118,4,1
118,114,1
118,21,1
118,9,1
118,30,1
118,17,1
118,5,1
118,22,1
119,70,1
119,40,1
119,71,1
119,37,1
119,10,1
119,22,1
120,4,1
120,29,1
120,9,1
120,74,1
121,13,1
121,40,1
121,34,1
121,7,1
121,36,1
121,37,1
121,10,1
121,60,1
121,22,1
122,74,1
122,10,1
123,70,1
123,78,1
123,39,1
123,83,1
123,124,1
123,1,1
123,71,1
123,49,1
123,32,1
123,72,1
125,39,1
125,49,1
126,13,1
126,4,1
126,114,1
126,79,1
126,15,1
126,30,1
126,36,1
126,5,1
126,22,1
127,4,1
127,1,1
128,40,1
128,4,1
128,84,1
128,60,1
129,13,1
129,40,1
129,4,1
129,14,1
129,7,1
129,15,1
129,2,1
129,60,1
93,70,1
93,83,1
93,71,1
93,2,1
93,5,1
130,4,1
130,74,1
130,5,1
130,32,1
130,10,1
130,72,1
130,22,1
131,22,1
132,20,1
132,34,1
132,9,1
132,9,1
132,36,1
132,36,1
132,5,1
132,10,1
132,22,1
133,20,1
133,40,1
133,7,1
133,30,1
133,37,1
133,60,1
133,60,1
133,22,1
134,4,1
134,49,1
135,13,1
135,4,1
135,14,1
135,7,1
135,46,1
135,2,1
135,10,1
135,60,1
135,11,1
135,22,1
78,136,1
78,26,1
78,77,1
78,13,1
78,137,1
78,39,1
78,94,1
78,138,1
78,28,1
78,139,1
78,29,1
78,21,1
78,9,1
78,74,1
78,71,1
78,36,1
78,24,1
78,140,1
78,141,1
78,142,1
78,54,1
78,5,1
78,55,1
78,143,1
78,144,1
78,109,1
78,145,1
78,32,1
78,146,1
78,59,1
78,10,1
78,72,1
78,147,1
78,148,1
78,149,1
78,150,1
78,22,1
151,13,1
151,4,1
151,86,1
151,5,1
151,10,1
152,153,1
152,4,1
152,35,1
152,67,1
152,18,1
152,22,1
153,154,1
153,155,1
153,156,1
153,25,1
153,85,1
153,152,1
153,152,1
153,157,1
153,20,1
153,158,1
153,159,1
153,160,1
153,4,1
153,34,1
153,161,1
153,162,1
153,163,1
153,164,1
153,1,1
153,165,1
153,166,1
153,167,1
153,49,1
153,168,1
153,169,1
153,170,1
153,171,1
153,172,1
153,173,1
153,5,1
153,174,1
153,175,1
153,37,1
153,176,1
153,177,1
153,178,1
153,178,1
153,11,1
179,39,1
179,29,1
179,21,1
179,36,1
179,5,1
179,22,1
180,20,1
180,40,1
180,4,1
180,7,1
180,46,1
180,86,1
180,37,1
180,60,1
180,11,1
180,22,1
181,4,1
181,14,1
181,15,1
181,30,1
181,2,1
181,5,1
182,20,1
182,60,1
157,46,1
157,49,1
157,22,1
27,183,1
27,77,1
27,184,1
27,185,1
27,186,1
27,43,1
27,28,1
27,7,1
27,187,1
27,79,1
27,188,1
27,189,1
27,29,1
27,190,1
27,191,1
27,16,1
27,192,1
27,30,1
27,193,1
27,50,1
27,194,1
27,195,1
27,196,1
27,17,1
27,54,1
27,5,1
27,197,1
27,58,1
27,175,1
27,198,1
27,199,1
27,10,1
27,60,1
27,200,1
27,80,1
27,11,1
27,201,1
27,22,1
13,202,1
13,203,1
13,12,1
13,204,1
13,13,1
13,205,1
13,40,1
13,206,1
13,4,1
13,207,1
13,14,1
13,208,1
13,209,1
13,7,1
13,210,1
13,211,1
13,15,1
13,212,1
13,46,1
13,213,1
13,214,1
13,215,1
13,30,1
13,216,1
13,217,1
13,218,1
13,219,1
13,18,1
13,220,1
13,37,1
13,221,1
13,222,1
13,10,1
13,223,1
13,60,1
13,224,1
13,225,1
13,200,1
20,40,1
20,34,1
20,46,1
20,86,1
20,226,1
20,36,1
20,52,1
20,227,1
20,228,1
20,229,1
20,230,1
20,231,1
20,232,1
20,233,1
20,37,1
20,234,1
20,22,1
235,34,1
235,60,1
235,22,1
137,4,1
137,28,1
137,29,1
137,74,1
137,24,1
137,5,1
137,18,1
137,32,1
137,10,1
137,72,1
137,22,1
66,236,1
66,70,1
66,237,1
66,4,1
66,14,1
66,114,1
66,7,1
66,96,1
66,79,1
66,238,1
66,239,1
66,189,1
66,98,1
66,240,1
66,241,1
66,101,1
66,71,1
66,242,1
66,243,1
66,244,1
66,2,1
66,104,1
66,5,1
66,245,1
66,32,1
66,60,1
66,246,1
158,2,1
158,5,1
158,22,1
247,14,1
247,35,1
247,18,1
247,72,1
248,21,1
248,5,1
249,30,1
249,2,1
39,250,1
39,179,1
39,251,1
39,13,1
39,39,1
39,94,1
39,252,1
39,253,1
39,254,1
39,29,1
39,1,1
39,165,1
39,226,1
39,255,1
39,36,1
39,49,1
39,256,1
39,257,1
39,258,1
39,5,1
39,55,1
39,259,1
39,260,1
39,261,1
39,262,1
39,263,1
39,32,1
39,264,1
39,265,1
39,146,1
39,37,1
39,266,1
39,267,1
39,268,1
39,72,1
39,60,1
39,269,1
39,270,1
39,22,1
271,4,1
271,114,1
271,79,1
271,2,1
271,5,1
271,80,1
272,4,1
272,1,1
94,70,1
94,78,1
94,13,1
94,39,1
94,124,1
94,21,1
94,74,1
94,71,1
94,36,1
94,2,1
94,5,1
94,37,1
94,72,1
94,22,1
273,70,1
273,4,1
273,79,1
273,71,1
273,80,1
274,83,1
275,22,1
276,4,1
276,29,1
276,5,1
276,72,1
40,277,1
40,278,1
40,279,1
40,27,1
40,280,1
40,281,1
40,282,1
40,13,1
40,20,1
40,205,1
40,206,1
40,283,1
40,284,1
40,4,1
40,34,1
40,285,1
40,7,1
40,46,1
40,86,1
40,286,1
40,287,1
40,215,1
40,288,1
40,71,1
40,289,1
40,290,1
40,291,1
40,292,1
40,293,1
40,294,1
40,219,1
40,5,1
40,232,1
40,295,1
40,220,1
40,37,1
40,296,1
40,297,1
40,10,1
40,298,1
40,299,1
40,60,1
40,225,1
40,11,1
40,300,1
40,22,1
206,13,1
206,40,1
206,4,1
206,34,1
206,7,1
206,30,1
206,17,1
206,60,1
301,46,1
301,36,1
301,49,1
301,37,1
301,10,1
301,22,1
159,70,1
159,153,1
159,1,1
159,36,1
159,49,1
159,37,1
159,72,1
159,22,1
302,16,1
302,10,1
303,14,1
303,71,1
303,67,1
303,2,1
303,37,1
304,4,1
304,30,1
304,49,1
304,32,1
284,20,1
284,40,1
284,46,1
284,37,1
284,22,1
41,7,1
41,21,1
41,9,1
41,36,1
41,49,1
41,2,1
41,5,1
41,60,1
41,22,1
305,70,1
305,4,1
305,14,1
305,71,1
306,2,1
307,1,1
308,35,1
308,1,1
308,5,1
309,124,1
309,1,1
309,16,1
310,13,1
310,20,1
310,7,1
310,36,1
310,37,1
311,29,1
311,5,1
311,10,1
312,78,1
312,29,1
312,1,1
312,74,1
312,5,1
312,10,1
313,4,1
313,14,1
313,35,1
313,11,1
314,4,1
315,13,1
315,4,1
315,35,1
315,30,1
315,18,1
315,72,1
160,13,1
160,40,1
160,4,1
160,7,1
160,7,1
160,36,1
160,49,1
160,49,1
160,5,1
160,37,1
160,60,1
160,11,1
160,22,1
316,83,1
316,2,1
316,11,1
317,78,1
317,66,1
317,40,1
317,46,1
317,74,1
317,5,1
317,37,1
317,10,1
317,72,1
317,22,1
4,318,1
4,319,1
4,320,1
4,321,1
4,322,1
4,323,1
4,12,1
4,19,1
4,26,1
4,65,1
4,68,1
4,73,1
4,75,1
4,115,1
4,135,1
4,181,1
4,27,1
4,13,1
4,137,1
4,273,1
4,40,1
4,206,1
4,308,1
4,314,1
4,324,1
4,315,1
4,325,1
4,326,1
4,14,1
4,138,1
4,327,1
4,328,1
4,329,1
4,330,1
4,331,1
4,332,1
4,333,1
4,334,1
4,7,1
4,335,1
4,336,1
4,337,1
4,338,1
4,339,1
4,340,1
4,341,1
4,342,1
4,343,1
4,96,1
4,35,1
4,344,1
4,345,1
4,346,1
4,347,1
4,348,1
4,349,1
4,15,1
4,45,1
4,29,1
4,350,1
4,1,1
4,351,1
4,352,1
4,99,1
4,191,1
4,353,1
4,354,1
4,355,1
4,16,1
4,100,1
4,30,1
4,24,1
4,67,1
4,356,1
4,357,1
4,194,1
4,243,1
4,358,1
4,2,1
4,104,1
4,359,1
4,140,1
4,360,1
4,361,1
4,17,1
4,362,1
4,363,1
4,107,1
4,364,1
4,365,1
4,366,1
4,367,1
4,219,1
4,54,1
4,5,1
4,368,1
4,369,1
4,18,1
4,370,1
4,109,1
4,371,1
4,58,1
4,372,1
4,32,1
4,373,1
4,374,1
4,222,1
4,375,1
4,376,1
4,10,1
4,377,1
4,378,1
4,379,1
4,380,1
4,381,1
4,382,1
4,72,1
4,383,1
4,178,1
4,178,1
4,60,1
4,11,1
4,384,1
4,22,1
4,385,1
386,27,1
386,4,1
386,7,1
386,79,1
386,29,1
386,30,1
386,10,1
386,80,1
387,39,1
387,40,1
387,4,1
387,1,1
387,49,1
387,5,1
387,18,1
387,32,1
387,37,1
388,13,1
388,4,1
388,35,1
388,1,1
388,18,1
388,10,1
207,13,1
207,66,1
207,4,1
207,7,1
207,15,1
207,30,1
207,5,1
207,18,1
207,37,1
207,11,1
389,390,1
389,135,1
389,251,1
389,13,1
389,20,1
389,248,1
389,391,1
389,40,1
389,41,1
389,392,1
389,4,1
389,393,1
389,394,1
389,395,1
389,396,1
389,397,1
389,398,1
389,399,1
389,400,1
389,7,1
389,401,1
389,402,1
389,403,1
389,349,1
389,404,1
389,405,1
389,86,1
389,21,1
389,406,1
389,407,1
389,215,1
389,9,1
389,30,1
389,36,1
389,408,1
389,409,1
389,290,1
389,410,1
389,411,1
389,17,1
389,412,1
389,413,1
389,55,1
389,414,1
389,37,1
389,376,1
389,415,1
389,60,1
389,11,1
389,22,1
389,416,1
417,4,1
417,10,1
418,5,1
419,7,1
420,20,1
420,40,1
420,34,1
420,86,1
420,36,1
420,37,1
420,22,1
421,21,1
422,11,1
14,423,1
14,424,1
14,425,1
14,322,1
14,70,1
14,113,1
14,135,1
14,13,1
14,66,1
14,158,1
14,272,1
14,303,1
14,305,1
14,4,1
14,426,1
14,114,1
14,427,1
14,428,1
14,429,1
14,339,1
14,342,1
14,430,1
14,345,1
14,79,1
14,15,1
14,431,1
14,239,1
14,432,1
14,433,1
14,434,1
14,435,1
14,97,1
14,436,1
14,437,1
14,438,1
14,99,1
14,439,1
14,440,1
14,441,1
14,354,1
14,442,1
14,443,1
14,444,1
14,445,1
14,446,1
14,101,1
14,74,1
14,71,1
14,447,1
14,24,1
14,356,1
14,448,1
14,103,1
14,449,1
14,2,1
14,450,1
14,451,1
14,452,1
14,453,1
14,454,1
14,17,1
14,362,1
14,455,1
14,456,1
14,457,1
14,458,1
14,459,1
14,107,1
14,460,1
14,461,1
14,5,1
14,18,1
14,109,1
14,462,1
14,463,1
14,464,1
14,110,1
14,465,1
14,466,1
14,467,1
14,468,1
14,10,1
14,266,1
14,377,1
14,469,1
14,470,1
14,378,1
14,178,1
14,224,1
14,200,1
14,80,1
14,471,1
95,4,1
95,1,1
95,5,1
95,37,1
95,10,1
472,49,1
472,22,1
473,4,1
473,37,1
473,84,1
473,84,1
474,67,1
474,22,1
83,475,1
83,476,1
83,113,1
83,94,1
83,309,1
83,4,1
83,477,1
83,478,1
83,479,1
83,124,1
83,480,1
83,481,1
83,482,1
83,483,1
83,484,1
83,485,1
83,486,1
83,1,1
83,487,1
83,488,1
83,489,1
83,101,1
83,71,1
83,490,1
83,491,1
83,492,1
83,493,1
83,218,1
83,5,1
83,494,1
83,495,1
83,496,1
83,32,1
83,497,1
83,498,1
83,499,1
124,500,1
124,39,1
124,40,1
124,309,1
124,477,1
124,83,1
124,501,1
124,502,1
124,503,1
124,504,1
124,505,1
124,506,1
124,507,1
124,508,1
124,484,1
124,509,1
124,1,1
124,510,1
124,511,1
124,71,1
124,30,1
124,256,1
124,490,1
124,102,1
124,512,1
124,513,1
124,492,1
124,514,1
124,515,1
124,516,1
124,517,1
124,518,1
124,493,1
124,519,1
124,520,1
124,37,1
124,521,1
124,522,1
124,523,1
524,40,1
524,34,1
524,46,1
524,36,1
524,49,1
524,5,1
524,37,1
524,22,1
480,83,1
480,1,1
480,2,1
525,27,1
525,66,1
525,4,1
525,14,1
525,79,1
525,16,1
