id,name,lat,lon
0,Ai Ssu-ch'i,,
1,Hu Shih,,
2,Mao Tse-tung,,
3,Burhan,,
4,Chiang Kai-shek,,
5,Sun Yat-sen,,
6,Buyantai,,
7,Feng Yu-hsiang,,
8,Hsu Ch'ien,,
9,Li Lieh-chun,,
10,Wang Ching-wei,,
11,Yen Hsi-shan,,
12,Ch'en Ch'eng,,
13,Chang Hsueh-liang,,
14,Chou En-lai,,
15,Ho Ying-ch'in,,
16,Kuo Mo-jo,,
17,Pai Ch'ung-hsi,,
18,T. V. Soong,,
19,Ch'en Ch'i-mei,,
20,Chang Hsun,,
21,Huang Hsing,,
22,Yuan Shih-k'ai,,
23,Ch'en Ch'ing-yun,,
24,Liao Chung-k'ai,,
25,Ch'en Chi-t'ang,,
26,Ch'en Chiung-ming,,
27,Chang Fa-k'uei,,
28,Eugene Ch'en,,
29,Hu Han-min,,
30,Li Tsung-jen,,
31,Ch'en Chia-keng,,
32,Ts'ai Yuan-p'ei,,
33,Ch'en Chin-t'ao,,
34,Feng Kuo-chang,,
35,H. H. K'ung,,
36,Li Yuan-hung,,
37,Tuan Ch'i-jui,,
38,Ch'eng Pi-kuang,,
39,Chang Ping-lin,,
40,Chang Tso-lin,,
41,Chao Heng-t'i,,
42,Chu Ch'ing-lan,,
43,Chu Chih-hsin,,
44,Hsiung K'o-wu,,
45,Hsu Ch'ung-chih,,
46,Hsu Shih-ch'ang,,
47,Hu I-sheng,,
48,Hung Chao-lin,,
49,Liang Ch'i-ch'ao,,
50,Liu Chen-huan,,
51,Liu Ssu-fu,,
52,Lu Jung-t'ing,,
53,Lung Chi-kuang,,
54,Sun Fo,,
55,Sung Chiao-jen,,
56,T. Hsiang-ch'en,,
57,T. Jo-ch'ing,,
58,Teng K'eng,,
59,Tsou Lu,,
60,Wu P'ei-fu,,
61,Yang Hsi-min,,
62,Yeh Chti,,
63,Yeh Chu,,
64,Ch'en Heng-che,,
65,Ch'en Keng,,
66,Chang Kuo-t'ao,,
67,Lin Piao,,
68,Ch'en Kuang-fu,,
69,Ch'en Kung-po,,
70,Ch'en Tu-hsiu,,
71,Li Ta-chao,,
72,Wu Chih-hui,,
73,Ch'en Kuo-fu,,
74,Li Shih-tseng,,
75,Ch'en Li-fu,,
76,Ch'en Lu,,
77,Ch'en Ming-shu,,
78,Chang Chi,,
79,Ho Lung,,
80,Yeh T'ing,,
81,Ch'en Pi-chun,,
82,Ch'en Po-ta,,
83,Chou Shu-jen,,
84,Wang Cheng-t'ing,,
85,Ch'en Pu-lei,,
86,Hsu Shu-cheng,,
87,Ch'en San-li,,
88,Ch'en Shao-k'uan,,
89,Ch'en Shao-pai,,
90,Ch'en Shao-yu,,
91,Ch'en Shu-jen,,
92,Ch'en T'an-ch'iu,,
93,Ch'u Ch'iu-pai,,
94,Chang Shih-chao,,
95,Chou Fo-hai,,
96,Gregory Voitinsky,,
97,Jen Pi-shih,,
98,John Dewey,,
99,Joseph Stalin,,
100,Leon Trotsky,,
101,Li Li-san,,
102,Liu Fu,,
103,Liu Shao-ch'i,,
104,Maring,,
105,P'eng Shu-chih,,
106,Po Wen-wei,,
107,Shao Li-tzu,,
108,T. Lieh-wu,,
109,Tai Chi-t'ao,,
110,Tung Pi-wu,,
111,Ch'en Wen-k'uan,,
112,Ch'en Yen-nien,,
113,Ch'en Yi [C],,
