origin,dest,weight,link_id
0,1,1,11
2,1,1,1594
3,1,1,337
4,5,1,14
6,5,1,2362
7,5,1,2281
8,5,1,1770
9,5,1,1079
10,5,1,922
11,5,1,814
3,5,2,183
12,13,1,21
14,13,1,4178
3,13,1,153
15,16,1,51
3,16,1,269
3,17,1,377
3,18,1,372
3,19,1,371
3,20,1,370
3,21,1,368
3,22,1,365
3,23,1,364
3,24,1,363
3,25,1,362
3,26,1,360
3,27,1,357
3,28,1,355
3,29,1,354
3,30,1,351
3,31,1,345
3,32,1,343
3,33,1,338
3,34,1,333
3,35,1,332
3,36,1,331
3,37,1,330
3,38,1,329
3,39,1,328
3,40,1,327
3,41,1,323
3,42,1,322
3,43,1,321
3,44,1,319
3,45,1,318
3,46,1,315
3,47,1,314
3,48,1,309
3,49,1,308
3,50,1,307
3,51,1,304
3,52,1,303
3,53,1,300
3,54,1,298
3,55,1,297
3,56,1,296
3,57,1,294
3,58,1,292
3,59,1,290
3,60,1,288
3,61,2,283
3,62,1,281
3,63,1,280
3,64,1,279
3,65,1,278
3,66,1,277
3,67,1,275
3,68,1,274
3,69,1,271
3,70,1,270
3,71,1,267
3,72,1,266
3,73,1,264
3,74,1,263
3,75,1,260
3,76,1,257
3,77,1,254
3,78,1,253
3,79,1,248
3,80,1,243
3,81,1,241
3,82,1,238
3,83,1,236
3,84,1,235
3,85,1,231
3,86,2,228
3,87,1,227
3,88,1,226
3,89,1,225
3,90,1,223
3,91,2,220
3,92,5,219
3,93,1,218
3,94,1,216
3,95,1,214
3,96,1,213
3,97,1,211
3,98,1,210
3,99,1,209
3,100,1,206
3,101,2,201
3,102,1,200
3,103,2,197
3,104,1,195
3,105,1,193
3,106,1,190
3,107,2,189
3,108,2,188
3,109,1,187
3,110,1,186
3,111,1,185
3,112,1,182
3,113,1,181
3,114,2,180
3,115,1,179
3,116,1,176
3,117,1,175
3,118,1,168
3,119,1,167
3,120,1,165
3,121,1,164
3,122,2,162
3,123,1,160
3,124,1,159
3,125,1,154
3,126,1,152
3,127,1,150
3,128,1,149
3,129,1,148
3,130,1,147
3,131,1,146
3,132,1,145
3,133,1,141
3,134,1,139
3,135,1,138
3,136,1,137
3,137,1,134
3,138,1,133
3,139,1,132
3,140,1,131
3,141,1,128
3,142,1,127
3,143,1,126
3,144,2,125
3,145,1,123
3,146,1,122
3,147,1,121
3,148,1,117
3,149,3,114
3,150,1,111
3,151,1,108
3,152,1,106
3,153,1,105
3,154,1,104
3,155,2,102
3,156,1,99
3,157,1,96
3,158,7,95
3,159,1,94
3,160,1,93
3,161,1,90
3,162,1,89
3,163,1,87
3,164,2,86
3,165,1,85
3,166,1,84
3,167,1,83
3,168,1,82
3,169,1,81
3,170,2,79
3,171,1,78
3,172,1,77
3,173,1,76
3,174,1,75
3,175,1,74
3,176,1,73
3,177,1,71
3,178,1,70
3,179,3,68
3,180,2,65
3,181,2,63
3,182,1,62
183,180,1,4328
184,180,1,3606
185,180,1,3467
186,180,1,3329
187,180,1,2430
2,180,1,1603
188,180,1,1360
189,179,1,7429
190,179,1,7402
191,179,1,7358
192,179,1,7254
193,179,1,3281
194,179,1,2614
195,179,1,2583
196,179,1,2467
197,179,1,1860
198,177,1,1321
199,175,1,1639
200,173,1,6500
106,167,1,3415
201,166,1,1367
202,166,1,1004
203,165,1,2218
204,165,1,2027
205,165,1,2006
206,165,1,1971
207,165,1,1616
208,163,1,848
209,163,1,701
210,162,1,4918
211,162,1,862
212,158,1,3144
213,158,1,2344
214,157,1,749
215,157,1,703
155,216,1,4617
155,108,1,4616
217,155,1,5176
218,155,1,4598
219,155,1,4508
220,155,1,4490
221,155,1,4132
222,155,1,4121
223,155,1,4096
224,155,1,3762
69,155,1,3257
225,155,1,3211
226,155,1,1245
227,153,1,6493
228,150,1,2701
229,149,1,7206
230,149,1,6900
231,149,1,4709
232,149,1,4440
233,149,1,4374
234,149,1,4344
235,149,1,4005
236,149,1,3000
237,149,1,2639
238,149,1,2453
239,147,1,4211
240,147,1,4140
241,146,1,1791
144,144,1,1201
242,144,1,502
243,144,1,428
244,144,1,387
245,135,1,7604
246,135,1,7583
247,135,1,7565
248,135,1,7551
249,133,1,4167
250,127,1,560
251,127,1,479
252,125,1,3683
253,124,1,6728
254,122,1,5833
255,122,1,2691
256,122,1,2622
257,122,1,2427
258,122,1,2289
259,120,1,1101
260,118,1,5699
261,118,1,5072
262,118,1,3366
263,116,1,6144
264,116,1,484
265,114,1,1896
266,114,2,1497
267,110,1,1335
268,108,1,3027
269,108,1,1986
270,108,1,1566
271,108,1,1278
272,108,1,1142
202,108,1,1003
273,108,1,635
274,107,1,7577
104,107,1,3870
275,105,1,6090
276,104,1,6242
277,104,1,6034
278,104,1,4241
279,103,1,6329
280,103,1,2982
281,99,1,3545
282,99,1,2519
188,97,1,1362
283,95,1,6040
284,93,1,5913
285,92,1,6072
286,92,1,5909
232,92,1,4438
287,92,12,2758
288,92,1,2737
289,92,2,2562
290,92,12,2542
291,92,1,2445
292,92,1,2258
293,91,1,7420
294,91,1,7155
295,91,1,6339
296,91,1,5940
297,91,1,5879
298,91,1,4255
299,91,1,3037
90,90,1,695
300,90,1,5908
301,90,1,4406
302,90,1,691
303,90,1,679
304,90,1,673
305,90,1,666
306,87,1,998
307,86,1,2865
308,86,1,2855
309,86,1,2822
310,86,1,2803
311,86,1,2795
312,86,1,2520
313,86,1,2342
314,86,1,2298
315,86,1,2280
316,86,1,2247
317,86,1,2108
318,86,1,2088
319,86,1,1929
320,86,1,1633
266,86,1,1496
321,86,1,1200
322,86,1,1043
323,86,1,766
324,85,1,5847
325,84,1,5964
326,81,1,1849
327,81,1,1592
328,78,1,5926
329,78,1,5850
330,78,1,1914
331,77,1,1885
332,77,1,1875
333,77,1,1804
334,76,1,7346
335,76,1,6365
276,76,1,6244
336,76,1,5922
337,76,1,5875
338,76,1,5760
267,76,1,1334
339,72,1,7630
340,71,1,1941
341,69,1,4076
342,69,1,3952
343,69,1,3949
344,69,1,3897
345,69,1,3698
346,69,1,3375
347,69,1,2429
6,69,1,2361
8,69,1,1771
207,69,1,1617
2,69,1,1601
348,69,1,1403
9,69,1,1080
349,69,1,570
350,69,1,509
351,68,1,808
352,66,1,2256
353,65,1,5478
354,65,1,5463
355,65,1,5455
356,65,1,5370
357,65,1,5346
358,65,1,5345
359,65,1,4842
360,65,1,3595
361,65,1,2725
362,65,1,1887
2,65,1,1600
363,65,1,953
364,65,1,512
365,63,1,1731
356,62,1,5369
366,55,1,5201
367,55,1,3691
368,55,1,2835
369,55,1,999
370,53,1,912
52,52,4,2431
371,51,1,1157
372,45,1,7123
373,45,1,5698
2,45,1,1602
374,45,1,1009
375,45,1,592
376,41,1,900
377,41,1,813
378,41,1,782
379,41,1,462
380,40,1,4563
381,40,1,3940
382,40,1,1765
383,40,1,1198
384,39,1,2189
385,39,1,2174
386,39,1,2164
387,39,1,2163
388,38,1,2166
389,38,1,1809
390,37,1,5448
391,36,1,1968
392,33,1,5610
393,33,1,5268
394,32,1,5626
2,32,1,1598
395,27,1,5129
396,27,1,1023
397,25,1,7040
398,25,1,6895
399,24,1,5267
400,24,1,5249
401,24,1,4912
402,24,1,4771
193,24,1,3282
403,18,1,1352
214,404,1,748
405,404,1,6139
406,407,1,783
408,407,1,2074
202,409,1,1002
267,410,1,1331
188,411,1,1361
412,411,1,3916
266,413,1,1498
2,414,1,1607
2,415,1,1605
2,416,1,1604
2,417,1,1599
2,418,1,1595
419,417,1,6241
420,417,1,1931
421,414,1,3131
422,414,1,2321
423,408,1,7108
356,408,1,5371
312,424,1,2521
425,424,1,7637
426,424,1,7514
427,424,1,7311
428,424,1,6511
429,424,1,4251
194,430,1,2613
431,430,1,5722
432,430,1,5516
433,430,1,5481
434,430,1,3108
280,435,1,2981
193,436,1,3280
437,436,1,6949
438,436,1,6696
439,436,1,6210
252,440,3,3680
285,441,1,6071
276,442,1,6243
